file,silhouette_score,davies_bouldin_index,calinski_harabasz_index,fowlkes_mallows_index
2020-01-01.csv,0.9574329850814709,0.01377258098175962,18832.39883691031,
2020-01-02.csv,0.9517542635473152,0.02662839787906453,2329.4998386779116,
2020-01-03.csv,0.9573034212950461,0.12097389840501818,2374.707628554252,
2020-01-04.csv,0.9691454888696406,0.05514789783268969,25968.99265151859,
2020-01-05.csv,0.9358979874394046,0.019596095488571098,16452.677070046426,
2020-01-06.csv,0.9553991078035791,0.015230902684105102,2737.03001206897,
2020-01-07.csv,0.9500919995513012,0.011006104822364809,25404.72163907607,
2020-01-08.csv,0.9561212007219883,0.01638939198929486,2234.360142777666,
2020-01-09.csv,0.9696544488276915,0.011130879572914197,3017.79899834401,
2020-01-10.csv,0.8618051011363913,0.03357462542710913,44220.90627702121,
2020-01-11.csv,0.9805112002420466,0.1031352338633151,2342.214564686583,
2020-01-12.csv,0.9146034305659275,0.03034995598372735,2128.717453584274,
2020-01-13.csv,0.9481103006883891,0.02207425637459063,2292.092832776394,
2020-01-14.csv,0.8035701989107877,0.052199688645199534,2647.0978114863497,
2020-01-15.csv,0.6802780902262101,0.1552050141575993,7935.16230797484,
2020-01-16.csv,0.9227393646999886,0.013291198088990071,3216.47587937366,
2020-01-17.csv,0.9744245262439543,0.005061517254257948,3191.6808177241473,
2020-01-18.csv,0.9459594554411888,0.11726943310931401,2063.818904032553,
2020-01-19.csv,0.9654223733246752,0.012012624716177995,19475.211787048618,
2020-01-20.csv,0.9700625956792015,0.012479664058568563,2308.545971784392,
2020-01-21.csv,0.9047179204481981,0.1270621564768766,3130.025083773946,
2020-01-22.csv,0.9543793842848665,0.027772977499630848,2271.6752154748483,
2020-01-23.csv,0.654837885758511,0.14884555385167325,6950.845102772907,
2020-01-24.csv,0.973240180541519,0.11300043593074593,2924.9902298763163,
2020-01-25.csv,0.9506520163094221,0.1231723402474042,13277.386577662532,
2020-01-26.csv,0.9354236022052673,0.1526873804869622,1963.988701742869,
2020-01-27.csv,0.9036601899112137,0.021276171552949266,7452.764889000459,
2020-01-28.csv,0.9468256366620813,0.01319373512052568,6372.0750341071835,
2020-01-29.csv,0.9333550457268506,0.019645137450604956,2226.5249829295262,
2020-01-30.csv,0.9702793448882233,0.0088373993709569,2084.7013120141705,
2020-01-31.csv,0.9441628289674328,0.02884164362200241,3870.7083647704812,
