file,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Fowlkes-Mallows Index
2020-01-01.csv,0.9984268483064148,1.5553966802310538e-08,8.894205048118134e+26,1.0
2020-01-02.csv,0.9991463933459594,8.991835554416966e-09,2.4373833880494764e+27,1.0
2020-01-03.csv,0.9999999998384174,1.106481214610642e-08,2.3666813888709958e+26,1.0
2020-01-04.csv,0.999999999815234,1.1815502507783578e-08,3.015058401801977e+27,1.0
2020-01-05.csv,0.9996048991695393,1.1728575536777414e-08,1.666229952700357e+28,1.0
2020-01-06.csv,0.9999999998258658,1.3932957227606272e-08,1.41023462573666e+27,1.0
2020-01-07.csv,0.99961656418758,1.1268197984985703e-08,6.798234753382367e+26,1.0
2020-01-08.csv,0.9995557529426499,0.0,3.237803872646788e+27,1.0
2020-01-09.csv,0.99934145278486,1.1236138760035009e-08,2.853811303584685e+26,1.0
2020-01-10.csv,0.9997024596738768,1.5171142466138278e-08,1.8612655646907417e+25,1.0
2020-01-11.csv,0.9996050550481377,1.1160310440890631e-08,5.951046387558861e+26,1.0
2020-01-12.csv,0.9995355316691956,1.5495889687989683e-08,5.91497941811357e+26,1.0
2020-01-13.csv,0.999134947947012,1.2721965519142614e-08,6.1084739947162785e+26,1.0
2020-01-14.csv,0.9999999998592283,0.0,8.967538866805772e+26,1.0
2020-01-15.csv,0.9999999973596007,1.1351343955555643e-08,2.6072170674938064e+25,1.0
2020-01-16.csv,0.9997031739386308,1.2034024506812658e-08,5.584701756646047e+26,1.0
2020-01-17.csv,0.9999999978621549,1.576272386073492e-08,5.881597707565213e+25,1.0
2020-01-18.csv,0.9999999998484947,1.1649701700660644e-08,6.06016400754088e+26,1.0
2020-01-19.csv,0.9999999999396834,1.1300649801488631e-08,1.5810705190291453e+28,1.0
2020-01-20.csv,0.9999999999050533,1.4836529495648773e-08,7.935851490529799e+26,1.0
2020-01-21.csv,0.9993836670944003,1.3730965203008763e-08,2.2565893253611597e+27,1.0
2020-01-22.csv,0.9995627458388671,1.1336266531621214e-08,9.881444752008268e+26,1.0
2020-01-23.csv,0.9996270046106873,1.271569269681429e-08,1.220738380443533e+26,1.0
2020-01-24.csv,0.9999999997765052,1.067373694808183e-08,3.292057725177851e+27,1.0
2020-01-25.csv,0.9999999994906151,1.6149397039157263e-08,1.3239169456779927e+26,1.0
2020-01-26.csv,0.9995327101732792,1.4959262553241878e-08,2.3746592461696627e+27,1.0
2020-01-27.csv,0.9999999998029979,1.0334633564498641e-08,5.0501653513609396e+26,1.0
2020-01-28.csv,0.999999999578863,1.4115854379962008e-08,4.1838220976685625e+25,1.0
2020-01-29.csv,0.9986666665655685,1.1559770743242438e-08,1.1660975940620596e+27,1.0
2020-01-30.csv,0.9985795451447735,1.5430770211623364e-08,1.2169236058927519e+26,1.0
2020-01-31.csv,0.9997416018545796,1.5794588316226464e-08,4.996280238714718e+26,1.0
