timestamp,fromLabel,toLabel,tokenAddressLabel,fromIsContract,toIsContract
2020-01-12 00:00:01,103367,93067,458,0,0
2020-01-12 00:00:01,3,378131,2321,0,0
2020-01-12 00:00:21,3,138926,3,0,1
2020-01-12 00:00:54,73410,362357,2185,0,1
2020-01-12 00:00:54,362357,115311,2185,1,0
2020-01-12 00:00:54,54828,362357,2185,0,1
2020-01-12 00:00:54,362357,115311,2185,1,0
2020-01-12 00:00:54,59071,362357,2185,0,1
2020-01-12 00:00:54,362357,115311,2185,1,0
2020-01-12 00:00:54,92427,362357,2185,0,1
2020-01-12 00:00:54,362357,115311,2185,1,0
2020-01-12 00:00:54,69277,362357,2185,0,1
2020-01-12 00:00:54,362357,115311,2185,1,0
2020-01-12 00:00:54,5584,362357,2185,0,1
2020-01-12 00:00:54,362357,115311,2185,1,0
2020-01-12 00:00:54,354653,362357,2185,0,1
2020-01-12 00:00:54,362357,115311,2185,1,0
2020-01-12 00:00:54,61818,362357,2185,0,1
2020-01-12 00:00:54,362357,115311,2185,1,0
2020-01-12 00:00:54,97822,362357,2185,0,1
2020-01-12 00:00:54,362357,115311,2185,1,0
2020-01-12 00:00:55,332657,378141,1279,0,0
2020-01-12 00:00:55,372308,378141,1279,0,0
2020-01-12 00:01:02,3,140041,3,0,1
2020-01-12 00:01:11,3,363392,3,0,0
2020-01-12 00:01:11,3,335,3,0,0
2020-01-12 00:01:11,3,377723,3,0,0
2020-01-12 00:01:11,3,68,3,0,0
2020-01-12 00:01:21,3,349526,952,0,0
2020-01-12 00:01:21,3,83165,948,0,0
2020-01-12 00:01:21,354698,313847,2185,0,1
2020-01-12 00:01:21,313847,1114,2185,1,0
2020-01-12 00:01:45,3,99247,3,0,1
2020-01-12 00:01:45,3,378088,3,0,1
2020-01-12 00:01:45,3,495,3,0,0
2020-01-12 00:01:58,61847,138852,952,0,0
2020-01-12 00:01:58,327241,372341,286,0,0
2020-01-12 00:02:28,3,83329,180,0,0
2020-01-12 00:02:28,93067,117889,458,0,1
2020-01-12 00:02:28,2257,8,3,0,1
2020-01-12 00:03:14,3,363392,3,0,0
2020-01-12 00:03:52,3,140041,3,0,1
2020-01-12 00:03:52,3,50852,1629,0,0
2020-01-12 00:03:52,3,84745,518,0,0
2020-01-12 00:03:52,3,84745,518,0,0
2020-01-12 00:05:12,97382,8,3,0,1
2020-01-12 00:05:12,96456,83329,180,1,0
2020-01-12 00:05:34,97382,8,3,0,1
2020-01-12 00:06:09,3,1661,3,0,0
2020-01-12 00:06:09,118694,346571,2185,0,0
2020-01-12 00:06:09,3,344155,2562,0,0
2020-01-12 00:06:09,68,8,3,0,1
2020-01-12 00:06:32,8,100069,3,1,0
2020-01-12 00:07:13,373996,3,2024,0,0
2020-01-12 00:07:22,100069,378126,3,0,1
2020-01-12 00:07:34,308344,313847,2185,0,1
2020-01-12 00:07:34,313847,3258,2185,1,0
2020-01-12 00:07:37,308344,313847,2185,0,1
2020-01-12 00:07:37,313847,3258,2185,1,0
2020-01-12 00:07:37,3,84745,518,0,0
2020-01-12 00:07:37,3,84745,518,0,0
2020-01-12 00:07:37,3,84745,518,0,0
2020-01-12 00:07:42,308344,313847,2185,0,1
2020-01-12 00:07:42,313847,3258,2185,1,0
2020-01-12 00:07:46,3,140041,3,0,1
2020-01-12 00:08:33,3,377021,3,0,0
