timestamp,fromLabel,toLabel,tokenAddressLabel,fromIsContract,toIsContract
2020-01-05 00:00:19,3,123,3,0,0
2020-01-05 00:00:19,3,123,3,0,0
2020-01-05 00:00:36,3,123,3,0,0
2020-01-05 00:00:44,355114,313847,2185,0,1
2020-01-05 00:00:44,313847,372549,2185,1,0
2020-01-05 00:00:53,347075,341454,2185,0,0
2020-01-05 00:00:55,3,140586,3,0,1
2020-01-05 00:00:55,3,308354,1279,0,0
2020-01-05 00:00:55,8,61503,3,1,0
2020-01-05 00:00:55,8,61503,3,1,0
2020-01-05 00:00:55,8,61503,3,1,0
2020-01-05 00:00:55,8,61503,3,1,0
2020-01-05 00:01:17,3,123,3,0,0
2020-01-05 00:01:47,3,138926,3,0,1
2020-01-05 00:01:47,3,342370,1629,0,0
2020-01-05 00:02:11,3,368865,2321,0,0
2020-01-05 00:02:14,3,142386,3,0,1
2020-01-05 00:02:14,3,374774,3,0,0
2020-01-05 00:02:38,3,137641,3,0,1
2020-01-05 00:02:38,3,343867,2024,0,0
2020-01-05 00:02:38,3,52068,180,0,0
2020-01-05 00:03:07,28,373783,3,1,0
2020-01-05 00:03:07,8,359472,3,1,1
2020-01-05 00:03:41,8,61503,3,1,0
2020-01-05 00:03:41,353302,313847,2185,0,1
2020-01-05 00:03:41,313847,86089,2185,1,0
2020-01-05 00:03:48,8,61503,3,1,0
2020-01-05 00:03:48,298609,369846,3,1,0
2020-01-05 00:03:48,85981,313847,2185,0,1
2020-01-05 00:03:48,313847,86085,2185,1,0
2020-01-05 00:03:59,3,138926,3,0,1
2020-01-05 00:03:59,3,141050,3,0,1
2020-01-05 00:03:59,8,61503,3,1,0
2020-01-05 00:04:46,3,343867,2024,0,0
2020-01-05 00:04:46,359472,28,3,1,1
2020-01-05 00:05:27,96456,52068,180,1,0
2020-01-05 00:05:27,298609,369846,3,1,0
2020-01-05 00:05:43,57562,3,950,0,0
2020-01-05 00:06:04,308344,313847,2185,0,1
2020-01-05 00:06:04,313847,86085,2185,1,0
2020-01-05 00:06:04,308344,313847,2185,0,1
2020-01-05 00:06:04,313847,86085,2185,1,0
2020-01-05 00:06:04,1149,313847,2185,0,1
2020-01-05 00:06:04,313847,86089,2185,1,0
2020-01-05 00:06:04,1149,313847,2185,0,1
2020-01-05 00:06:04,313847,86089,2185,1,0
2020-01-05 00:06:04,309310,313847,2185,0,1
2020-01-05 00:06:04,313847,86089,2185,1,0
2020-01-05 00:06:04,354702,313847,2185,0,1
2020-01-05 00:06:04,313847,86089,2185,1,0
2020-01-05 00:06:04,1149,313847,2185,0,1
2020-01-05 00:06:04,313847,86089,2185,1,0
2020-01-05 00:06:31,347049,313847,2185,0,1
2020-01-05 00:06:31,313847,86089,2185,1,0
2020-01-05 00:06:31,309310,313847,2185,0,1
2020-01-05 00:06:31,313847,86089,2185,1,0
2020-01-05 00:06:31,1149,313847,2185,0,1
2020-01-05 00:06:31,313847,86089,2185,1,0
2020-01-05 00:06:31,56353,313847,2185,0,1
2020-01-05 00:06:31,313847,86089,2185,1,0
2020-01-05 00:06:31,56353,313847,2185,0,1
2020-01-05 00:06:31,313847,86089,2185,1,0
2020-01-05 00:06:31,1149,313847,2185,0,1
2020-01-05 00:06:31,313847,86089,2185,1,0
2020-01-05 00:06:31,309310,313847,2185,0,1
2020-01-05 00:06:31,313847,86089,2185,1,0
2020-01-05 00:06:35,359472,8,3,1,1
2020-01-05 00:06:35,90610,313847,2185,0,1
2020-01-05 00:06:35,313847,61257,2185,1,0
2020-01-05 00:07:16,1149,313847,2185,0,1
2020-01-05 00:07:16,313847,86089,2185,1,0
2020-01-05 00:07:16,1149,313847,2185,0,1
2020-01-05 00:07:16,313847,86089,2185,1,0
2020-01-05 00:07:16,347049,313847,2185,0,1
2020-01-05 00:07:16,313847,86089,2185,1,0
2020-01-05 00:07:16,354702,313847,2185,0,1
2020-01-05 00:07:16,313847,86089,2185,1,0
2020-01-05 00:07:16,309310,313847,2185,0,1
2020-01-05 00:07:16,313847,86089,2185,1,0
2020-01-05 00:07:16,1149,313847,2185,0,1
2020-01-05 00:07:16,313847,86089,2185,1,0
2020-01-05 00:07:16,1149,313847,2185,0,1
2020-01-05 00:07:16,313847,86089,2185,1,0
2020-01-05 00:07:16,342998,313847,2185,0,1
2020-01-05 00:07:16,313847,375014,2185,1,0
2020-01-05 00:07:16,354611,313847,2185,0,1
2020-01-05 00:07:16,313847,3715,2185,1,0
2020-01-05 00:07:16,352600,313847,2185,0,1
2020-01-05 00:07:16,313847,3715,2185,1,0
2020-01-05 00:07:16,5584,313847,2185,0,1
2020-01-05 00:07:16,313847,3715,2185,1,0
2020-01-05 00:07:16,86089,313847,2185,0,1
2020-01-05 00:07:16,313847,3715,2185,1,0
2020-01-05 00:07:16,101685,3,2024,0,0
2020-01-05 00:07:19,373784,8,3,0,1
2020-01-05 00:07:19,357495,313847,2185,0,1
2020-01-05 00:07:19,313847,86089,2185,1,0
2020-01-05 00:07:42,3,339631,1629,0,0
2020-01-05 00:07:42,56353,313847,2185,0,1
2020-01-05 00:07:42,313847,86089,2185,1,0
2020-01-05 00:07:42,354702,313847,2185,0,1
2020-01-05 00:07:42,313847,86089,2185,1,0
2020-01-05 00:07:42,117183,313847,2185,0,1
2020-01-05 00:07:42,313847,61257,2185,1,0
2020-01-05 00:07:42,342998,313847,2185,0,1
2020-01-05 00:07:42,313847,375014,2185,1,0
2020-01-05 00:07:48,357495,313847,2185,0,1
2020-01-05 00:07:48,313847,86089,2185,1,0
2020-01-05 00:08:12,367743,370329,2024,0,0
2020-01-05 00:08:12,56353,313847,2185,0,1
2020-01-05 00:08:12,313847,86089,2185,1,0
2020-01-05 00:08:49,96456,2203,180,1,0
2020-01-05 00:08:49,139958,8,3,1,1
2020-01-05 00:08:49,354744,313847,2185,0,1
2020-01-05 00:08:49,313847,61257,2185,1,0
2020-01-05 00:08:49,77744,366722,2185,0,1
2020-01-05 00:08:49,366722,86089,2185,1,0
2020-01-05 00:08:49,357952,313847,2185,0,1
2020-01-05 00:08:49,313847,1114,2185,1,0
2020-01-05 00:08:53,304623,313847,2185,0,1
2020-01-05 00:08:53,313847,1114,2185,1,0
2020-01-05 00:08:53,3,84745,518,0,0
2020-01-05 00:08:53,3,84745,518,0,0
2020-01-05 00:08:53,3,84745,518,0,0
2020-01-05 00:08:53,3,84745,518,0,0
2020-01-05 00:08:53,3,84745,518,0,0
2020-01-05 00:08:53,3,93488,518,0,0
2020-01-05 00:08:53,3,84745,518,0,0
2020-01-05 00:08:53,3,84745,518,0,0
2020-01-05 00:08:53,3,93488,518,0,0
